dataset,metric,baseline_mean,baseline_std,proposed_mean,proposed_std,p_value,significant
CM1,precision,0.19338139427870238,0.03379178837512571,0.23591269841269843,0.042841524196919556,0.5,False
CM1,recall,0.6311274509803922,0.058695735366804176,0.43014705882352944,0.060261229672275714,0.25,False
CM1,f1,0.29568627450980395,0.046121381734867954,0.30287448312658394,0.04358836245112416,1.0,False
CM1,auc_roc,0.7226358183094268,0.03639128638960418,0.7372224963811028,0.046110310429733604,0.75,False
CM1,accuracy,0.7008032128514056,0.03275001291224921,0.8032128514056226,0.02882068292049665,,False
